FundataKey|AsOfDate|1MthReturn|3MthReturn|6MthReturn|YTDReturn|1YrSimpleReturn|3YrSimpleReturn|5YrSimpleReturn|10YrSimpleReturn|1YrCompoundReturn|3YrCompoundReturn|5YrCompoundReturn|10YrCompoundReturn|InceptionReturn|TotalDist|DistYield
37811|08/31/2020|2.306|5.41|-4.574|-8.271|-3.85|6.472|11.168||-3.85|1.445|4.954||7.105|1.414053|12.6133
37812|08/31/2020|-0.787|2.685|2.685|2.685|2.685|0.035|3.514||2.685|1.563|1.662||3.12||
37813|08/31/2020|-0.049|-0.126|-0.085|0.035|0.29|0.245|-0.498||0.29|0.469|0.114||0.101||
37814|08/31/2020|2.205|5.069|-5.157|-9.007|-5.006|5.226|9.928||-5.006|0.237|3.701||4.276|1.087263|12.7544
37815|08/31/2020|1.588|4.925|2.177|-2.029|2.913|13.09|4.469||2.913|5.646|5.356||8.384||
37816|08/31/2020|-0.787|2.685|2.685|2.685|2.685|0.035|3.514||2.685|1.563|1.662||3.145||
37817|08/31/2020|-0.742|2.967|0.824|0.076|1.059|0.451|3.721||1.059|2.037|2.057||3.511||
37818|08/31/2020|1.012|3.577|0.914|-4.252|-0.103|5.018|10.036||-0.103|2.098|4.118||7.562||
37820|08/31/2020|3.142|5.371|6.356|1.448|7.306|5.782|3.711||7.306|4.515|5.007||6.967||
37821|08/31/2020|-0.27|3.523|0.96|-0.865|0.982|0.747|3.132||0.982|1.687|1.78||3.384||
37822|08/31/2020|-0.27|3.523|0.96|-0.865|0.982|0.747|3.132||0.982|1.687|1.78||3.411||
37823|08/31/2020|-0.246|3.598|1.093|-0.689|1.256|1.038|3.483||1.256|1.971|2.083||3.724||
37824|08/31/2020|1.084|3.781|-2.151|-6.015|-2.727|5.233|10.032||-2.727|1.755|3.855||6.714||
37826|08/31/2020|3.202|6.769|3.669|0.233|4.459|5.892|5.156||4.459|4.138|4.596||4.829||
37827|08/31/2020|0.232|4.179|1.395|-1.005|1.668|1.792|3.134||1.668|2.05|2.156||3.823||
37828|08/31/2020|0.232|4.179|1.395|-1.005|1.668|1.792|3.134||1.668|2.05|2.156||3.854||
37829|08/31/2020|2.902|8.857|6.953|2.27|8.517|11.23|2.036||8.517|5.303|5.417||6.728||
37830|08/31/2020|0.263|4.277|1.582|-0.764|2.037|2.148|3.389||2.037|2.41|2.479||4.244||
37832|08/31/2020|0.701|4.771|1.799|-1.657|1.868|2.457|3.06||1.868|2.049|2.297||4.146||
37833|08/31/2020|0.134|1.804|0.209|-5.588|-0.646|6.439|4.512||-0.646|2.062|3.21||5.846||
37834|08/31/2020|0.701|4.771|1.799|-1.657|1.868|2.457|3.06||1.868|2.049|2.297||4.18||
37835|08/31/2020|0.722|4.837|1.926|-1.495|2.118|2.663|3.443||2.118|2.281|2.557||4.363||
37837|08/31/2020|3.211|6.771|3.693|0.194|4.418|1.65|-2.195||4.418|2.765|1.977||3.097||
37838|08/31/2020|1.139|5.458|1.865|-2.47|1.634|3.213|3.157||1.634|1.932|2.42||4.379||
37839|08/31/2020|6.133|12.471|15.348|6.653|16.119|22.394|6.341||16.119|11.987|10.779||8.373||
37840|08/31/2020|1.139|5.458|1.865|-2.47|1.634|3.213|3.157||1.634|1.932|2.42||4.415||
37841|08/31/2020|1.174|5.566|2.071|-2.208|2.046|3.551|3.501||2.046|2.304|2.772||4.752||
37842|08/31/2020|2.248|5.671|-0.853|-3.836|-0.468|2.027|-1.184||-0.468|1.268|1.074||2.944||
37843|08/31/2020|6.245|12.831|16.075|7.539|17.578|23.936|7.79||17.578|13.396|12.181||8.941||
37846|08/31/2020|1.662|6.101|1.62|-3.712|1.39|3.987|2.983||1.39|1.781|2.462||4.748||
37847|08/31/2020|3.066|6.789|-9.236|-14.369|-12.263|5.016|13.343||-12.263|1.009|3.304||4.321|1.2220559|12.0113
37848|08/31/2020|0.34|2.646|-0.482|-6.999|-2.276|4.021|4.385||-2.276|0.772|2.701||4.742||
37849|08/31/2020|3.179|7.143|-8.641|-13.633|-11.14|6.32|14.976||-11.14|2.274|4.627||6.687|1.3960515|13.5119
37851|08/31/2020|1.662|6.101|1.62|-3.712|1.39|3.987|2.983||1.39|1.781|2.462||4.787||
37852|08/31/2020|0.979|3.804|-8.859|-11.81|-11.33|8.008|15.019||-11.33|2.716|3.733||6.396|0.9849076|7.717
37853|08/31/2020|1.703|6.234|1.87|-3.4|1.885|4.479|3.34||1.885|2.27|2.912||5.214||
37854|08/31/2020|1.088|4.142|-8.272|-11.066|-10.2|9.344|16.522||-10.2|4.005|5.019||7.801|1.1841064|11.0973
37857|08/31/2020|2.151|6.616|1.657|-4.781|1.066|4.841|3.255||1.066|1.633|2.688||4.9||
37859|08/31/2020|2.731|7.367|2.316|-4.809|1.705|6.446|3.028||1.705|1.762|3.027||5.367||
37861|08/31/2020|2.657|9.503|2.619|-2.946|3.471|8.291|4.748||3.471|2.055|4.055||5.1||
37862|08/31/2020|2.907|7.714|-1.223|-5.057|-0.007|4.387|4.966||-0.007|0.38|2.345||4.085||
37863|08/31/2020|3.196|8.203|10.982|9.021|11.571|17.184|2.475||11.571|10.631|7.986||9.817||
37864|08/31/2020|2.734|8.794|5.208|1.83|5.367|7.745|0.673||5.367|4.63|4.1||5.037||
37865|08/31/2020|2.917|7.96|8.789|5.191|9.276|10.373|0||9.276|6.463|5.257||7.7||
37866|08/31/2020|1.69|5.868|7.494|4.109|5.73|9.608|2.175||5.73|6.625|5.134||5.526||
37867|08/31/2020|1.58|7.251|10.393|7.116|11.275|9.854|4.028||11.275|8.678|7.224||6.229||
37868|08/31/2020|2.259|6.676|12.403|9.82|14.661|13.231|1.07||14.661|10.36|6.802||8.862||
37869|08/31/2020|1.396|6.407|5.305|3.443|6.132|6.233|2.696||6.132|5.673|4.379||4.867||
37870|08/31/2020|2.006|5.842|10.516|6.135|11.4|2.804|0||11.4|3.066|1.918||6.594||
37871|08/31/2020|0.547|5.241|4.958|3.676|4.742|5.66|4.319||4.742|5.064|3.81||4.937||
37872|08/31/2020|2.061|4.68|-2.943|-5.032|-2.636|4.48|6.827||-2.636|1.149|2.788||3.631||
37873|08/31/2020|1.588|4.925|2.177|-2.029|2.913|13.09|4.469||2.913|5.646|5.356||8.453||
37874|08/31/2020|0.933|2.651|1.513|-5.418|-0.407|0.125|-1.651||-0.407|-2.04|-0.439||3.144||
37875|08/31/2020|1.624|5.031|2.377|-1.776|3.315|13.565|4.884||3.315|6.074|5.784||8.952||
37876|08/31/2020|1.012|3.577|0.914|-4.252|-0.103|5.018|10.036||-0.103|2.098|4.118||7.625||
37878|08/31/2020|1.048|3.693|1.131|-3.981|0.32|5.457|10.481||0.32|2.524|4.546||8.144||
37879|08/31/2020|3.142|5.371|6.356|1.448|7.306|5.782|3.711||7.306|4.515|5.007||7.025||
37881|08/31/2020|3.181|5.502|6.605|1.761|7.805|6.234|4.21||7.805|4.98|5.473||7.384||
37882|08/31/2020|1.084|3.781|-2.151|-6.015|-2.727|5.233|10.032||-2.727|1.755|3.855||6.769||
37883|08/31/2020|1.124|3.903|-1.922|-5.724|-2.288|5.686|10.481||-2.288|2.202|4.301||7.3||
37885|08/31/2020|3.202|6.769|3.669|0.233|4.459|5.892|5.156||4.459|4.138|4.596||4.869||
37891|08/31/2020|3.239|6.886|3.923|0.546|4.922|6.337|5.585||4.922|4.578|5.032||5.289||
37892|08/31/2020|1.737|3.144|6.785|-0.957|8.224|13.706|9.437||8.224|8.794|9.11||13.857|0.525812|2.205
37893|08/31/2020|2.902|8.857|6.953|2.27|8.517|11.23|2.036||8.517|5.303|5.417||6.784||
37895|08/31/2020|0.933|2.651|1.513|-5.418|-0.407|0.125|-1.651||-0.407|-2.04|-0.439||3.169||
37896|08/31/2020|2.938|8.973|7.179|2.555|8.972|11.695|2.533||8.972|5.744|5.867||7.385||
37897|08/31/2020|0.984|2.807|1.817|-5.042|0.155|0.628|-1.149||0.155|-1.525|0.082||3.427||
37898|08/31/2020|4.075|6.764|-3.596|-11.036|-5.001|10.702|11.774||-5.001|1.326|4.377||7.18|0.380406|2.656
37899|08/31/2020|0.134|1.804|0.209|-5.588|-0.646|6.439|4.512||-0.646|2.062|3.21||5.894||
37900|08/31/2020|2.061|4.68|-2.943|-5.032|-2.636|4.48|6.827||-2.636|1.149|2.788||3.661||
37901|08/31/2020|0.177|1.936|0.464|-5.269|-0.142|6.902|5.007||-0.142|2.541|3.686||6.46||
37903|08/31/2020|2.101|4.802|-2.718|-4.743|-2.192|4.953|7.364||-2.192|1.606|3.254||4.253||
37904|08/31/2020|3.211|6.771|3.693|0.194|4.418|1.65|-2.195||4.418|2.765|1.977||3.091||
37905|08/31/2020|4.165|7.042|-3.099|-10.429|-4.023|11.829|12.906||-4.023|2.365|5.441||8.257|0.554777|3.7771
37906|08/31/2020|3.248|6.891|3.919|0.482|4.864|2.078|-1.831||4.864|3.189|2.405||3.544||
37907|08/31/2020|3.253|6.295|0.678|-6.74|0.128|10.843|7.023||0.128|2.849|4.878||6.793|0.10425|0.8195
37908|08/31/2020|0.547|5.241|4.958|3.676|4.742|5.66|4.319||4.742|5.064|3.81||4.978||
37910|08/31/2020|2.248|5.671|-0.853|-3.836|-0.468|2.027|-1.184||-0.468|1.268|1.074||2.968||
37911|08/31/2020|2.28|5.769|-0.651|-3.576|-0.066|2.452|-0.846||-0.066|1.682|1.487||3.442||
37912|08/31/2020|3.35|6.598|1.244|-6.042|1.252|12.028|8.097||1.252|3.978|5.994||7.914|0.276359|2.1678
37913|08/31/2020|0.582|5.346|5.172|3.952|5.167|6.091|4.745||5.167|5.494|4.238||5.386||
37914|08/31/2020|0.34|2.646|-0.482|-6.999|-2.276|4.021|4.385||-2.276|0.772|2.701||4.781||
37916|08/31/2020|2.882|4.492|0.886|-5.115|-0.706|12.06|12.863||-0.706|4.127|7.239||8.334|0.065636|0.3715
37917|08/31/2020|0.376|2.758|-0.268|-6.733|-1.856|4.468|4.838||-1.856|1.205|3.139||4.991||
37918|08/31/2020|2.972|4.771|1.416|-4.456|0.336|13.25|14.072||0.336|5.227|8.377||9.466|0.269349|1.4502
37919|08/31/2020|2.006|5.842|10.516|6.135|11.4|2.804|0||11.4|3.066|1.918||6.649||
37920|08/31/2020|2.657|9.503|2.619|-2.946|3.471|8.291|4.748||3.471|2.055|4.055||5.142||
37922|08/31/2020|-0.655|3.65|4.534|7.856|5.861|0.74|5.985||5.861|5.118|4.078||3.285|0.348072|3.4075
37923|08/31/2020|2.694|9.623|2.843|-2.667|3.917|8.744|5.221||3.917|2.48|4.503||5.589||
37924|08/31/2020|-0.608|3.795|4.821|8.248|6.443|1.313|6.62||6.443|5.701|4.666||3.865|0.403337|3.9376
