FundataKey|AsOfDate|TotalDist-CurrMth|TotalDist-YTD|TotalDist-12Mth|DistYield|DivDist-CurrMth|DivDist-YTD|DivDist-12Mth|FgnDivDist-CurrMth|FgnDivDist-YTD|FgnDivDist-12Mth|CapGainsDist-CurrMth|CapGainsDist-YTD|CapGainsDist-12Mth|IntIncDist-CurrMth|IntIncDist-YTD|IntIncDist-12Mth|RtnPrinciple-CurrMth|RtnPrinciple-YTD|RtnPrinciple-12Mth|DistFrequency
17019|08/31/2020||||||||||||||||||||No Distribution
17020|08/31/2020||||||||||||||||||||No Distribution
17021|08/31/2020||||||||||||||||||||No Distribution
17022|08/31/2020||||||||||||||||||||No Distribution
17023|08/31/2020||||||||||||||||||||No Distribution
17024|08/31/2020||||||||||||||||||||No Distribution
17025|08/31/2020||||||||||||||||||||No Distribution
17026|08/31/2020||||||||||||||||||||No Distribution
17027|08/31/2020||||||||||||||||||||No Distribution
17035|08/31/2020||0.204873|0.204873|0.9795||0.204873|0.204873|||||||||||||Annual
17036|08/31/2020||0.509622|0.509622|3.3859||0.509622|0.509622|||||||||||||Annual
17045|08/31/2020||0.243316|0.243316|0.9417||0.243316|0.243316|||||||||||||Annual
17046|08/31/2020||0.638952|0.638952|3.4714||0.638952|0.638952|||||||||||||Annual
17066|08/31/2020||0.2038|0.378|3.6639||0.2038|0.378|||||||||||||Quarterly
17067|08/31/2020||0.0721|2.2434|7.4532||0.0721|0.0934||||||2.15|||||||Quarterly
17068|08/31/2020|||1.4504|11.3124|||0.112||||||1.3384|||||||Annual
17069|08/31/2020|||1.106458|11.2563|||0.085441||||||1.021017|||||||Annual
17072|08/31/2020||||||||||||||||||||No Distribution
17073|08/31/2020||||||||||||||||||||No Distribution
17075|08/31/2020||||||||||||||||||||No Distribution
17079|08/31/2020|||1.9796|12.9912|||0.1528||||||1.8268|||||||Annual
17080|08/31/2020|||1.510166|12.9268|||0.116566||||||1.3936|||||||Annual
17116|08/31/2020||||||||||||||||||||Annual
17117|08/31/2020||||||||||||||||||||Annual
17118|08/31/2020||||||||||||||||||||No Distribution
17121|08/31/2020||||||||||||||||||||No Distribution
17122|08/31/2020||||||||||||||||||||No Distribution
17123|08/31/2020||||||||||||||||||||No Distribution
17124|08/31/2020||||||||||||||||||||No Distribution
17125|08/31/2020||||||||||||||||||||No Distribution
17126|08/31/2020||||||||||||||||||||No Distribution
17127|08/31/2020||||||||||||||||||||No Distribution
17128|08/31/2020||||||||||||||||||||No Distribution
17130|08/31/2020||||||||||||||||||||No Distribution
17131|08/31/2020||||||||||||||||||||No Distribution
17132|08/31/2020||||||||||||||||||||No Distribution
17133|08/31/2020||||||||||||||||||||No Distribution
17134|08/31/2020||||||||||||||||||||No Distribution
17135|08/31/2020||||||||||||||||||||No Distribution
17136|08/31/2020||||||||||||||||||||No Distribution
17137|08/31/2020||||||||||||||||||||No Distribution
17138|08/31/2020||||||||||||||||||||No Distribution
17139|08/31/2020||||||||||||||||||||No Distribution
17140|08/31/2020||||||||||||||||||||No Distribution
17141|08/31/2020||||||||||||||||||||No Distribution
17142|08/31/2020||||||||||||||||||||No Distribution
17143|08/31/2020||||||||||||||||||||No Distribution
17144|08/31/2020||||||||||||||||||||No Distribution
17145|08/31/2020||||||||||||||||||||No Distribution
17146|08/31/2020||||||||||||||||||||No Distribution
17147|08/31/2020||||||||||||||||||||No Distribution
17148|08/31/2020||||||||||||||||||||No Distribution
17149|08/31/2020||||||||||||||||||||No Distribution
17150|08/31/2020||||||||||||||||||||No Distribution
17151|08/31/2020||||||||||||||||||||No Distribution
17152|08/31/2020||||||||||||||||||||No Distribution
17153|08/31/2020||||||||||||||||||||No Distribution
17154|08/31/2020||||||||||||||||||||No Distribution
17155|08/31/2020||||||||||||||||||||No Distribution
17156|08/31/2020||||||||||||||||||||No Distribution
17157|08/31/2020||||||||||||||||||||No Distribution
17158|08/31/2020||||||||||||||||||||No Distribution
17159|08/31/2020||||||||||||||||||||No Distribution
17160|08/31/2020||||||||||||||||||||No Distribution
17161|08/31/2020||||||||||||||||||||No Distribution
17162|08/31/2020||||||||||||||||||||No Distribution
17163|08/31/2020||||||||||||||||||||No Distribution
17164|08/31/2020||0.025977|0.234501|1.627||0.025977|0.234501|||||||||||||Quarterly
17165|08/31/2020||0.299668|0.507715|1.7509||0.299668|0.507715|||||||||||||Quarterly
17169|08/31/2020||||||||||||||||||||No Distribution
17170|08/31/2020||||||||||||||||||||No Distribution
17171|08/31/2020||||||||||||||||||||No Distribution
17172|08/31/2020||||||||||||||||||||No Distribution
17173|08/31/2020||0.099888|0.374265|2.5135||0.099888|0.374265|||||||||||||Quarterly
17174|08/31/2020||0.486054|0.866998|2.868||0.486054|0.866998|||||||||||||Quarterly
17175|08/31/2020||||||||||||||||||||No Distribution
17176|08/31/2020||||||||||||||||||||No Distribution
17177|08/31/2020||||||||||||||||||||No Distribution
17178|08/31/2020||||||||||||||||||||No Distribution
17179|08/31/2020||||||||||||||||||||No Distribution
17182|08/31/2020||||||||||||||||||||No Distribution
17183|08/31/2020||||||||||||||||||||No Distribution
17184|08/31/2020||||||||||||||||||||No Distribution
17191|08/31/2020||||||||||||||||||||No Distribution
17192|08/31/2020||||||||||||||||||||Annual
